ASSETID,PERIOD,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,AMENITYID,HASPARKINGSPACE,ISPARKINGSPACEINCLUDEDINPRICE,PARKINGSPACEPRICE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,CONSTRUCTIONYEAR,FLOORCLEAN,FLATLOCATIONID,CADCONSTRUCTIONYEAR,CADMAXBUILDINGFLOOR,CADDWELLINGCOUNT,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE
A5332973439101461859,201806,263000,101,1,1,0,1,1,2,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1870.0,3.0,1.0,1870,5,11,4,0,0,1,878171802050901,939686099376444,874572022723604,-37597081238291,394776388682079
A6620226987731054706,201806,358000,176,4,2,1,1,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,1.0,1.0,1995,6,7,8,0,0,1,624126538003462,651559344253572,879960071996362,-374772647255719,394751884424429
A984301416555223420,201806,318000,140,4,2,1,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,1.0,1.0,1973,2,2,5,0,0,1,615895542962382,765204109221872,10268262533786,-376791183808464,394752970870733
A7243253340527619716,201806,153000,80,2,1,1,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1956.0,5.0,1.0,1956,4,9,4,0,0,1,670093129754808,823732095328788,103124413251726,-377122027155357,394757730120885
A137099207028380687,201806,333000,135,4,2,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1994.0,1.0,1.0,1994,4,17,4,0,0,1,764580396021655,884623446120405,977128887851107,-376857260750928,394766318797019
A12370329598396923339,201806,358000,139,5,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,4.0,,1962,10,49,3,0,0,1,975854856997464,789153298236133,590323795148149,-372679518704499,394779879136922
A17172539825043451960,201806,317000,132,2,1,1,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,0.0,1.0,1964,6,48,5,0,0,1,868140542534148,911789861836359,842788872069808,-37555674147928,39477521411895
A1745188340193909105,201806,538000,163,3,2,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1900.0,2.0,1.0,1900,5,7,4,0,0,1,711026225509133,502933764346805,687875163617908,-371464160634242,39474762310874
A4644255514461352114,201806,186000,74,2,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1954.0,1.0,1.0,1954,5,28,6,0,0,1,751212056546609,404217702642075,652789597289926,-370370300012285,394744853173257
A14289372358623971017,201806,500000,150,3,2,0,1,1,3,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1900.0,1.0,1.0,1900,5,7,4,0,0,1,741059893668986,573132822493987,672998838963621,-371998600380464,394753869957391
